,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1,0,7,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
2,6,0,0,0,0,0,4,2,0,0,3,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
3,0,0,0,72,34,60,31,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0
4,2,0,75,0,37,65,27,0,0,0,0,0,6,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0
5,1,0,33,34,0,38,26,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6,4,0,77,73,55,0,41,0,0,0,0,0,7,0,0,1,0,0,1,0,0,0,0,0,5,1,3,0
7,0,4,32,16,29,37,0,3,3,0,5,1,0,0,0,0,5,59,68,0,0,0,0,0,1,0,0,0
8,0,3,0,0,0,0,3,0,23,16,16,1,0,0,0,0,0,25,10,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,3,17,0,10,0,12,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,1
10,0,0,0,0,0,0,0,12,14,0,0,0,0,0,0,2,0,11,0,0,0,0,0,0,0,4,0,1
11,0,4,0,0,0,0,4,20,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,2,0,0,0,0,1,1,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2,0,1,4,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,4,4,5,4,0,0,2,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1
17,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
18,0,6,0,0,0,0,56,22,4,11,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
19,0,0,1,1,1,1,68,8,1,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,2,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,1,3,0,0,0,0
22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0
23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,0,0,0,0,0,0
25,0,0,5,2,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,4,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
