,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,0,38,0,25,17,3,0,0,2,0,8,4,4,0,0,0
2,40,0,0,25,1,0,0,0,0,0,5,5,3,8,8,7
3,0,0,0,39,8,0,0,0,0,0,0,0,0,0,0,0
4,24,20,40,0,0,0,0,0,0,0,0,0,0,0,0,0
5,18,0,10,0,0,0,0,0,5,0,4,0,0,0,0,0
6,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
10,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
11,4,1,0,0,4,0,0,0,0,0,0,2,2,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0
14,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1
15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
