,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,0,114,43,25,22,46,1,0,2,3,8,4,4,0,0,0
2,123,0,11,55,5,10,6,1,0,4,5,5,4,8,8,7
3,44,7,0,45,24,12,0,18,0,1,0,0,0,0,0,0
4,25,47,47,0,1,0,0,1,0,0,0,0,0,0,0,0
5,26,3,31,0,0,4,1,15,5,0,4,0,0,0,0,0
6,50,8,15,1,5,0,18,1,0,6,0,0,1,0,0,0
7,3,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0
8,0,0,18,0,14,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
10,4,3,2,1,0,4,0,0,0,0,0,0,0,0,0,0
11,4,1,0,0,4,0,0,0,0,0,0,2,2,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0
14,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1
15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
