id,label,género,función,grupo,universo
1,Don Juan,Hombre,Galán,Caballería urbana,Urbano
2,Limón,Hombre,Criado,Criados,Servidumbre
3,Leonarda,Mujer,Dama,Caballería urbana,Urbano
4,Inés,Mujer,Criada,Criados,Servidumbre
5,Don Fernando,Hombre,Galán-Autoridad,Caballería urbana,Urbano
6,Don Luis,Hombre,Galán,Caballería urbana,Urbano
7,Dionís,Hombre,Criado,Criados,Servidumbre
8,Lisena,Mujer,Dama,Caballería urbana,Urbano
9,Don Pedro,Hombre,Galán,Caballería urbana,Urbano
10,Alcaide,Hombre,-,Cargos de gobierno,Corte
11,Alguacil,Hombre,-,Funcionarios,Urbano
12,Justicia,Hombre,-,Funcionarios,Urbano
13,Escribano,Hombre,-,Funcionarios,Urbano
14,Sancho,Hombre,-,Presos,Urbano
15,Cespedosa,Hombre,-,Presos,Urbano
16,Rosales,Hombre,-,Presos,Urbano
