id,label,género,tipo,categoría,universo
1,Belisa,Mujer,Autoridad-Dama,Caballería urbana,Urbano
2,Fenisa,Mujer,Dama,Caballería urbana,Urbano
3,Bernardo,Hombre,Viejo-Galán,Capitanes,Guerra
4,Lucindo,Hombre,Galán,Caballería urbana,Urbano
5,Hernando,Hombre,Criado,Criados,Servidumbre
6,Gerarda,Mujer,Dama,Caballería urbana,Urbano
7,Doristeo,Hombre,Galán,Caballería urbana,Urbano
8,Finardo,Hombre,Galán,Caballería urbana,Urbano
9,Fulminato,Hombre,Criado,Criados,Servidumbre
10,Liseo,Hombre,-,Músicos,Urbano
11,Fabio,Hombre,-,Músicos,Urbano
