,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,0,19,15,17,5,0,16,0,17,5,0,0,0,0,0,6,7,1,0,0
2,16,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,10,0,0,0
3,15,6,0,25,5,0,29,0,6,0,0,0,0,0,0,0,4,1,0,0
4,20,0,24,0,0,0,10,0,1,0,0,0,0,0,0,3,0,0,0,0
5,3,0,5,0,0,0,13,0,3,0,0,0,0,0,0,2,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,14,0,25,11,12,0,0,0,2,0,0,0,0,0,0,11,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,15,0,9,1,4,0,1,0,0,13,0,0,0,0,0,0,0,2,1,0
10,2,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,6,0,0,2,2,0,13,0,1,1,0,0,0,0,0,0,0,0,0,0
17,7,10,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
18,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,1
19,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,2
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
