,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,0,35,35,23,10,0,16,0,17,5,0,0,0,0,0,6,7,1,0,0
2,31,0,6,0,0,0,0,0,1,1,0,0,0,0,0,0,10,0,0,0
3,34,10,0,115,7,1,46,4,30,13,0,4,2,3,0,0,4,1,0,0
4,26,0,115,0,0,2,12,10,3,2,0,0,0,7,0,3,0,0,0,0
5,8,0,7,0,0,0,13,0,3,0,0,0,0,0,0,2,0,0,0,0
6,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,14,0,39,11,12,0,0,59,7,7,27,20,0,0,4,11,0,0,0,0
8,0,0,5,11,0,0,57,0,2,3,7,10,0,0,0,0,0,0,0,0
9,15,0,29,2,4,0,7,1,0,64,2,2,12,8,0,0,0,2,1,0
10,2,0,8,1,0,0,8,0,59,0,1,1,5,4,0,0,0,1,0,0
11,0,0,0,0,0,0,32,6,3,1,0,5,0,0,0,0,0,0,0,0
12,0,0,4,0,0,0,24,7,1,1,4,0,0,0,0,0,0,0,0,0
13,0,0,3,0,0,0,0,0,13,7,0,0,0,0,0,0,0,0,0,0
14,0,0,3,10,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
16,6,0,0,2,2,0,13,0,1,1,0,0,0,0,0,0,0,0,0,0
17,7,10,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
18,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,1
19,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,2
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
