id,label,género,función,grupo,universo
1,Alberto,Hombre,Viejo,Caballería urbana,Urbano
2,Liseno,Hombre,Galán,Caballería urbana,Urbano
3,Feliciano,Hombre,Galán,Caballería urbana,Urbano
4,Tristán,Hombre,Criado,Criados,Servidumbre
5,Leonida,Mujer,Dama,Caballería urbana,Urbano
6,Postillón,Hombre,-,Menestrales y artesanos,Urbano
7,Clavelia,Mujer,Dama,Caballería urbana,Urbano
8,Dorista,Mujer,-,Alcahuetas,Urbano
9,Teodoro,Hombre,Galán-Autoridad,Caballería urbana,Urbano
10,Otavio,Hombre,Galán,Caballería urbana,Urbano
11,Filiberto,Hombre,Galán,Caballería urbana,Urbano
12,Leonardo,Hombre,Galán,Caballería urbana,Urbano
13,Elisa,Mujer,Dama,Caballería urbana,Urbano
14,Hostalero,Hombre,-,Comerciantes,Urbano
15,Paje,Hombre,-,Pajes,Servidumbre
16,Juana,Mujer,Criada,Criados,Servidumbre
17,Rosardo,Hombre,Galán,Caballería urbana,Urbano
18,Alguacil uno,Hombre,-,Funcionarios,Urbano
19,Alguacil dos,Hombre,-,Funcionarios,Urbano
20,Escribano,Hombre,-,Funcionarios,Urbano
