id,label,género,tipo,categoría,universo
1,Doña Leonor,Mujer,Dama,Caballería urbana,Urbano
2,Inés,Mujer,Criada,Criados,Servidumbre
3,Don Juan,Hombre,Galán,Caballería urbana,Urbano
4,Tello,Hombre,Criado-Gracioso,Criados,Servidumbre
5,Don Luis,Hombre,Galán-Autoridad,Caballería urbana,Urbano
6,Don Bernardo,Hombre,Galán-Autoridad,Caballería urbana,Urbano
7,Doña Blanca,Mujer,Dama,Caballería urbana,Urbano
8,Antonia,Mujer,Criada,Criados,Urbano
9,Don Pedro,Hombre,Galán,Caballería urbana,Urbano
10,Otavio,Hombre,-,Caballería urbana,Urbano
11,Mendoza,Hombre,-,Caballería urbana,Urbano
12,Celio,Hombre,-,Caballería urbana,Urbano
13,Alguacil,Hombre,-,Funcionario,Urbano
14,Lucrecia,Mujer,Dama,Caballería urbana,Urbano
15,Fenisa,Mujer,Dama,Caballería urbana,Urbano
16,Leandro,Hombre,Galán,Caballería urbana,Urbano
17,Leonardo,Hombre,Galán,Caballería urbana,Urbano
18,Fabio,Hombre,Galán,Caballería urbana,Urbano
19,Rodrigo,Hombre,Galán,Caballería urbana,Urbano
20,Don Alonso,Hombre,Galán,Caballería urbana,Urbano
21,Don Félix,Hombre,Galán,Caballería urbana,Urbano
22,Don Toribio,Hombre,Galán,Caballería urbana,Urbano
